# id	length	x	y	z	rot_z	rot_y	rot_x
0	0.33	0.0	0.0	0	0	0	0
1	0.33	0.53	0.0	0	0	0	0
2	0.33	1.06	0.0	0	0	0	0
3	0.33	1.59	0.0	0	0	0	0
4	0.33	0.0	0.53	0	0	0	0
5	0.33	0.53	0.53	0	0	0	0
6	0.33	1.59	0.53	0	0	0	0
7	0.33	0.0	1.06	0	0	0	0
8	0.33	1.06	1.06	0	0	0	0
9	0.33	1.59	1.06	0	0	0	0
10	0.33	0.0	1.59	0	0	0	0
11	0.33	0.53	1.59	0	0	0	0
12	0.33	1.06	1.59	0	0	0	0
13	0.33	0.53	2.12	0	0	0	0
14	0.33	1.06	2.12	0	0	0	0
15	0.33	1.59	2.12	0	0	0	0
16	0.33	0.0	2.65	0	0	0	0
17	0.33	0.53	2.65	0	0	0	0
18	0.33	1.59	2.65	0	0	0	0
